id,name,brand,city,area,pincode,latitude,longitude,availability,last_updated,phone
1,HP Gas Agency Ameerpet,HP,Hyderabad,Ameerpet,500016,17.4375,78.4483,Available,20-03-2026 10:30,9000000001
2,Indane Gas Kukatpally,Indane,Hyderabad,Kukatpally,500072,17.4948,78.3996,Out of Stock,20-03-2026 09:50,9000000002
3,Bharat Gas Miyapur,Bharat,Hyderabad,Miyapur,500049,17.4965,78.3563,Low Stock,20-03-2026 10:10,9000000003
4,HP Gas Secunderabad,HP,Hyderabad,Secunderabad,500003,17.4399,78.4983,Available,20-03-2026 10:20,9000000004
5,Indane Gas Gachibowli,Indane,Hyderabad,Gachibowli,500032,17.4401,78.3489,Out of Stock,20-03-2026 09:40,9000000005
6,Bharat Gas Hitech City,Bharat,Hyderabad,Hitech City,500081,17.4435,78.3772,Available,20-03-2026 10:15,9000000006
7,HP Gas Madhapur,HP,Hyderabad,Madhapur,500081,17.4483,78.3915,Low Stock,20-03-2026 10:05,9000000007
8,Indane Gas Banjara Hills,Indane,Hyderabad,Banjara Hills,500034,17.4126,78.4482,Available,20-03-2026 10:25,9000000008
9,Bharat Gas Jubilee Hills,Bharat,Hyderabad,Jubilee Hills,500033,17.4239,78.4738,Out of Stock,20-03-2026 09:55,9000000009
10,HP Gas Begumpet,HP,Hyderabad,Begumpet,500016,17.4448,78.4625,Available,20-03-2026 10:35,9000000010
11,Indane Gas Tarnaka,Indane,Hyderabad,Tarnaka,500017,17.4283,78.5386,Low Stock,20-03-2026 10:00,9000000011
12,Bharat Gas LB Nagar,Bharat,Hyderabad,LB Nagar,500074,17.3457,78.5522,Available,20-03-2026 10:10,9000000012
13,HP Gas Dilsukhnagar,HP,Hyderabad,Dilsukhnagar,500060,17.3688,78.5247,Out of Stock,20-03-2026 09:45,9000000013
14,Indane Gas Mehdipatnam,Indane,Hyderabad,Mehdipatnam,500028,17.3924,78.4392,Available,20-03-2026 10:20,9000000014
15,Bharat Gas Tolichowki,Bharat,Hyderabad,Tolichowki,500008,17.4039,78.4071,Low Stock,20-03-2026 10:05,9000000015